GPS time   ,date       ,time     ,latitude           ,longitude          ,altitude            ,qx                  ,qy                  ,qz                  ,qw                  ,image,image_url
1417792706,2024-12-09 ,15:18:08 ,28.665180776714465,-81.37692560308767,-0.2987039228901267,0.6076314901151042,0.3432230549299737,-0.6357359426532206,0.3298813023681489,1733757488629.jpg,https://KShervington.github.io/arcgis-images/images/1733757488629.jpg
1417792707,2024-12-09 ,15:18:09 ,28.665182437682216,-81.37695023344341,-0.2892138669267297,0.5522185069545436,0.425040097550258,-0.5842575399954164,0.4159792719575422,1733757489603.jpg,https://KShervington.github.io/arcgis-images/images/1733757489603.jpg
1417792708,2024-12-09 ,15:18:10 ,28.665180363384483,-81.37698065975233,-0.4626881582662463,0.4927485796455838,0.4895151588039304,-0.5257767884135001,0.4910525800903279,1733757490612.jpg,https://KShervington.github.io/arcgis-images/images/1733757490612.jpg
1417792709,2024-12-09 ,15:18:11 ,28.665177280109088,-81.3770085771747,-0.4486771086230874,0.4555288709446952,0.5221476419000198,-0.4900281052027669,0.5288928840585123,1733757491620.jpg,https://KShervington.github.io/arcgis-images/images/1733757491620.jpg
1417792710,2024-12-09 ,15:18:12 ,28.66517872264449,-81.37703585518493,-0.4917745385318994,0.4399228117435353,0.5329565541332769,-0.4764547206825422,0.5435218666415097,1733757492645.jpg,https://KShervington.github.io/arcgis-images/images/1733757492645.jpg
1417792711,2024-12-09 ,15:18:13 ,28.66518051574364,-81.37706090124256,-0.3904932774603367,0.4361620669339314,0.5349039775262661,-0.4716783675237254,0.5487802498632036,1733757493654.jpg,https://KShervington.github.io/arcgis-images/images/1733757493654.jpg
1417792712,2024-12-09 ,15:18:14 ,28.665181619574184,-81.37708101008188,-0.4568238463252783,0.4303213736489071,0.538642698779505,-0.4693017258581416,0.5517639334092446,1733757494687.jpg,https://KShervington.github.io/arcgis-images/images/1733757494687.jpg
1417792713,2024-12-09 ,15:18:15 ,28.665180933891733,-81.3770935752867,-0.4191192574799061,0.4280704439019075,0.5397540172457969,-0.4660029433455332,0.5552139422513827,1733757495676.jpg,https://KShervington.github.io/arcgis-images/images/1733757495676.jpg
1417792714,2024-12-09 ,15:18:16 ,28.665179666021515,-81.37710125333763,-0.4106346247717738,0.4261968412971417,0.5430429517212421,-0.4642699032884857,0.5548999861986161,1733757496677.jpg,https://KShervington.github.io/arcgis-images/images/1733757496677.jpg
1417792715,2024-12-09 ,15:18:17 ,28.665175870300093,-81.37710331355147,-0.2897795317694545,0.4248060335849726,0.5428813267233296,-0.4637651236415416,0.5565444211471928,1733757497692.jpg,https://KShervington.github.io/arcgis-images/images/1733757497692.jpg
1417792716,2024-12-09 ,15:18:18 ,28.66517475184893,-81.37710439473845,-0.2954047527164221,0.4250003422192445,0.5432300358911254,-0.4634753246583623,0.5562971443859723,1733757498704.jpg,https://KShervington.github.io/arcgis-images/images/1733757498704.jpg
1417792717,2024-12-09 ,15:18:19 ,28.665173837084065,-81.37711376936548,-0.2281104624271392,0.4247834052729035,0.5433045149677824,-0.4635220865472761,0.5563510741483105,1733757499701.jpg,https://KShervington.github.io/arcgis-images/images/1733757499701.jpg
1417792718,2024-12-09 ,15:18:20 ,28.6651745023052,-81.37711797386642,-0.129023584537208,0.424438227855886,0.5433223823881081,-0.4638150364521302,0.5563530607770935,1733757500699.jpg,https://KShervington.github.io/arcgis-images/images/1733757500699.jpg
1417792719,2024-12-09 ,15:18:21 ,28.66517556902514,-81.37712349797658,-0.0348673779517412,0.4253206944508946,0.5446126145827367,-0.4625092959043411,0.555503941258052,1733757501718.jpg,https://KShervington.github.io/arcgis-images/images/1733757501718.jpg
1417792720,2024-12-09 ,15:18:22 ,28.665171121031182,-81.37712384289867,-0.0315125025808811,0.4259688063592287,0.5471046025737673,-0.459932618812234,0.5546972170620512,1733757502722.jpg,https://KShervington.github.io/arcgis-images/images/1733757502722.jpg
1417792721,2024-12-09 ,15:18:23 ,28.66517112792223,-81.3771215914517,-0.0332901803776621,0.4248194199390891,0.5498705863074022,-0.4567103605632105,0.5555056721618431,1733757503747.jpg,https://KShervington.github.io/arcgis-images/images/1733757503747.jpg
1417792722,2024-12-09 ,15:18:24 ,28.665169835165702,-81.37715914587056,-0.0344632528722286,0.422277695943436,0.551670437544827,-0.4533309022242561,0.5584195041186918,1733757504757.jpg,https://KShervington.github.io/arcgis-images/images/1733757504757.jpg
1417792723,2024-12-09 ,15:18:25 ,28.665171773705804,-81.37718394909416,-0.0776686146855354,0.4233651463908299,0.554483620169375,-0.446696331799375,0.5601537765833311,1733757505756.jpg,https://KShervington.github.io/arcgis-images/images/1733757505756.jpg
1417792724,2024-12-09 ,15:18:26 ,28.66517111550654,-81.37721053105935,-0.0133677618578076,0.4243798447628013,0.553666981545346,-0.4418306632357117,0.5640393092798023,1733757506759.jpg,https://KShervington.github.io/arcgis-images/images/1733757506759.jpg
1417792725,2024-12-09 ,15:18:27 ,28.66517190009081,-81.37724595108782,-0.060258918441832,0.4244204653647675,0.550934528012715,-0.4397920851816903,0.5682616526169371,1733757507759.jpg,https://KShervington.github.io/arcgis-images/images/1733757507759.jpg
1417792726,2024-12-09 ,15:18:28 ,28.66517347872568,-81.3772897269936,-0.0985421715304255,0.4270748052185405,0.5506269187308439,-0.441589262771177,0.5651690504006793,1733757508754.jpg,https://KShervington.github.io/arcgis-images/images/1733757508754.jpg
1417792727,2024-12-09 ,15:18:29 ,28.665171500462066,-81.37733505431285,-0.0996851101517677,0.4274068421364362,0.5472481298242712,-0.4455293935926764,0.5651075136862374,1733757509768.jpg,https://KShervington.github.io/arcgis-images/images/1733757509768.jpg
1417792728,2024-12-09 ,15:18:30 ,28.665171693939776,-81.37738280296928,-0.1061613708734512,0.4320463377813516,0.5462276568046375,-0.4452480494896955,0.5627836462916415,1733757510793.jpg,https://KShervington.github.io/arcgis-images/images/1733757510793.jpg
1417792729,2024-12-09 ,15:18:31 ,28.66517226856905,-81.3774292862871,-0.1937862345948815,0.4181022851336738,0.556081125645511,-0.4348359564154346,0.5717358752817805,1733757511802.jpg,https://KShervington.github.io/arcgis-images/images/1733757511802.jpg
1417792730,2024-12-09 ,15:18:32 ,28.6651617955126,-81.37747771877767,-0.2954231053590774,0.3773635617880584,0.5824442352066767,-0.3993898436273315,0.5990353096764269,1733757512805.jpg,https://KShervington.github.io/arcgis-images/images/1733757512805.jpg
1417792731,2024-12-09 ,15:18:33 ,28.665143344174343,-81.37752078198685,-0.4405766744166612,0.3275619799711841,0.6133086492099599,-0.3462168164278286,0.6298330128245222,1733757513807.jpg,https://KShervington.github.io/arcgis-images/images/1733757513807.jpg
1417792732,2024-12-09 ,15:18:34 ,28.665114813208,-81.37756325057146,-0.6723325783386827,0.2568214592860878,0.6455755094517758,-0.2740865099054834,0.6649447703941562,1733757514832.jpg,https://KShervington.github.io/arcgis-images/images/1733757514832.jpg
1417792733,2024-12-09 ,15:18:35 ,28.66507944207291,-81.37760401690107,-1.1823012419044971,0.2109465045980116,0.6587738536332687,-0.2280873068077807,0.6851968776102171,1733757515825.jpg,https://KShervington.github.io/arcgis-images/images/1733757515825.jpg
1417792734,2024-12-09 ,15:18:36 ,28.66504610955444,-81.37764282532959,-1.163795023225248,0.1922064208602908,0.6626314597097163,-0.215093386296902,0.6911664456613265,1733757516846.jpg,https://KShervington.github.io/arcgis-images/images/1733757516846.jpg
1417792735,2024-12-09 ,15:18:37 ,28.66501092365017,-81.37767895004643,-1.3695860896259546,0.1774664868526778,0.6671099534637401,-0.2041150796064326,0.6941231961236014,1733757517845.jpg,https://KShervington.github.io/arcgis-images/images/1733757517845.jpg
1417792736,2024-12-09 ,15:18:38 ,28.664971225932607,-81.37771217328796,-1.353541135787964,0.1682813312172112,0.670275186994241,-0.199335322083537,0.6947503722792732,1733757518862.jpg,https://KShervington.github.io/arcgis-images/images/1733757518862.jpg
1417792737,2024-12-09 ,15:18:39 ,28.66493166845766,-81.37775060320703,-1.456222313456237,0.1626669204420292,0.6725888066360536,-0.1972118918790154,0.6944575838620247,1733757519875.jpg,https://KShervington.github.io/arcgis-images/images/1733757519875.jpg
1417792738,2024-12-09 ,15:18:40 ,28.66489348792882,-81.37779280426335,-1.4391373936086893,0.1586134314891681,0.6726730144210957,-0.1988284411653393,0.6948524863526903,1733757520884.jpg,https://KShervington.github.io/arcgis-images/images/1733757520884.jpg
1417792739,2024-12-09 ,15:18:41 ,28.66482254271882,-81.37779980196933,-1.5727301882579925,0.1580380049541422,0.6734888669671996,-0.2019526341543932,0.6932905872495981,1733757521909.jpg,https://KShervington.github.io/arcgis-images/images/1733757521909.jpg
1417792740,2024-12-09 ,15:18:42 ,28.6647922579962,-81.37783435873533,-1.577007234096527,0.1635008480767558,0.668483899399795,-0.2088772612838641,0.6948143701571561,1733757522933.jpg,https://KShervington.github.io/arcgis-images/images/1733757522933.jpg
1417792741,2024-12-09 ,15:18:43 ,28.664768197006385,-81.37786181381259,-1.8025588672608133,0.1663919550715131,0.6569362244824922,-0.217295644798575,0.7025177186004924,1733757523959.jpg,https://KShervington.github.io/arcgis-images/images/1733757523959.jpg
1417792742,2024-12-09 ,15:18:44 ,28.66474584571933,-81.37788731798206,-1.6657113917171955,0.1753729235144988,0.6877315999784911,-0.2130144052077713,0.6714868458740211,1733757524952.jpg,https://KShervington.github.io/arcgis-images/images/1733757524952.jpg
1417792743,2024-12-09 ,15:18:45 ,28.664719974817505,-81.3779176520079,-1.5055399714037776,0.1739068363663327,0.6806878661961518,-0.2181401677585329,0.6773738718818478,1733757525960.jpg,https://KShervington.github.io/arcgis-images/images/1733757525960.jpg
1417792744,2024-12-09 ,15:18:46 ,28.664696413272843,-81.37794486546102,-1.3807092681527138,0.1757480305348955,0.6814307369040472,-0.2162633799749845,0.6767532370210407,1733757526984.jpg,https://KShervington.github.io/arcgis-images/images/1733757526984.jpg
1417792745,2024-12-09 ,15:18:47 ,28.664667399515302,-81.37798334857085,-1.4164981804788113,0.1749437566559093,0.6773887567531177,-0.2131449593324234,0.681988519331304,1733757527984.jpg,https://KShervington.github.io/arcgis-images/images/1733757527984.jpg
1417792747,2024-12-09 ,15:18:49 ,28.66461633694586,-81.37805840729403,-1.2735261265188456,0.1875565097162034,0.6666790182908148,-0.2316708874073055,0.6831472498256561,1733757529022.jpg,https://KShervington.github.io/arcgis-images/images/1733757529022.jpg
1417792748,2024-12-09 ,15:18:50 ,28.66459652005317,-81.37809845396522,-1.3748209243640304,0.2290262467341744,0.6503627779052812,-0.2848075663034763,0.6659278924058581,1733757530021.jpg,https://KShervington.github.io/arcgis-images/images/1733757530021.jpg
1417792749,2024-12-09 ,15:18:51 ,28.6645810096704,-81.37812892801297,-1.3567944448441267,0.2799196258546034,0.6350163563798955,-0.3377967959465259,0.6358400953011478,1733757531018.jpg,https://KShervington.github.io/arcgis-images/images/1733757531018.jpg
1417792750,2024-12-09 ,15:18:52 ,28.66456920840299,-81.37815415870612,-1.3932963646948338,0.3261774955969961,0.6070062558240663,-0.3883034385710328,0.611859435348529,1733757532026.jpg,https://KShervington.github.io/arcgis-images/images/1733757532026.jpg
1417792751,2024-12-09 ,15:18:53 ,28.664566545498587,-81.37816330338649,-1.39515745267272,0.3549643781788423,0.5888305958883621,-0.4182830471944694,0.5935639933875381,1733757533022.jpg,https://KShervington.github.io/arcgis-images/images/1733757533022.jpg
1417792752,2024-12-09 ,15:18:54 ,28.664566821435404,-81.37816235579177,-1.408095866441727,0.364874337468391,0.5811043171211953,-0.429695579810077,0.5869806439291896,1733757534031.jpg,https://KShervington.github.io/arcgis-images/images/1733757534031.jpg
1417792753,2024-12-09 ,15:18:55 ,28.66456818130647,-81.37815768585635,-1.4255730230361223,0.3652798030321172,0.5815068204888051,-0.4295022030807917,0.5864711806958544,1733757535023.jpg,https://KShervington.github.io/arcgis-images/images/1733757535023.jpg
